Economy,Year,Ease of Doing Business Rank,Starting a Business - Rank,Starting a Business - Procedures (number),Starting a Business - Time (days),Starting a Business - Cost (% of income per capita),Starting a Business - Paid-in Min. Capital (% of income per capita),Dealing with Construction Permits - Rank,Dealing with Construction Permits - Procedures (number),Dealing with Construction Permits - Time (days),Dealing with Construction Permits - Cost (% of income per capita),Getting Electricity - Rank,Getting Electricity - Procedures (number),Getting Electricity - Time (days),Getting Electricity - Cost (% of income per capita),Registering Property - Rank,Registering Property - Procedures (number),Registering Property - Time (days),Registering Property - Cost (% of property value),Getting Credit - Rank,Getting Credit - Strength of legal rights index (0-10),Getting Credit - Depth of credit information index (0-6),Getting Credit - Public registry coverage (% of adults),Getting Credit - Private bureau coverage (% of adults),Protecting Investors - Rank,Protecting Investors - Extent of disclosure index (0-10),Protecting Investors - Extent of director liability index (0-10),Protecting Investors - Ease of shareholder suits index (0-10),Protecting Investors - Strength of investor protection index (0-10),Paying Taxes - Rank,Paying Taxes - Payments (number per year),Paying Taxes - Time (hours per year),Paying Taxes - Profit tax (%),Paying Taxes - Labor tax and contributions (%),Paying Taxes - Other taxes (%),Paying Taxes - Total tax rate (% profit),Trading Across Borders - Rank,Trading Across Borders - Documents to export (number),Trading Across Borders - Time to export (days),Trading Across Borders - Cost to export (US$ per container),Trading Across Borders - Documents to import (number),Trading Across Borders - Time to import (days),Trading Across Borders - Cost to import (US$ per container),Enforcing Contracts - Rank,Enforcing Contracts - Time (days),Enforcing Contracts - Cost (% of claim),Enforcing Contracts - Procedures (number),Resolving Insolvency - Rank,Resolving Insolvency - Time (years),Resolving Insolvency - Cost (% of estate),Resolving Insolvency - Recovery rate (cents on the dollar)
Côte d'Ivoire,DB2010,..,..,10,40,133.3,204.9,..,19,620,210.4,..,5,33,"4,186.60",..,6,62,13.9,..,3,1,2.7,0,..,6,1,3,3.3,..,66,270,..,..,..,44.7,..,10,25,"1,969",9,36,"2,577",..,770,41.7,33,..,2.2,18,34
Côte d'Ivoire,DB2011,170,171,10,40,133,202.9,168,18,583,207.3,76,5,33,"4,137.00",154,6,62,13.9,152,3,1,2.6,0,153,6,1,3,3.3,153,64,270,..,..,..,44.4,160,10,25,"1,969",9,36,"2,577",124,770,41.7,33,81,2.2,18,32.8
Côte d'Ivoire,DB2012,167,170,10,32,132.6,200.4,169,18,583,204.8,73,5,33,"4,002.30",158,6,62,13.9,126,6,1,2.6,0,155,6,1,3,3.3,159,62,270,8.8,20.1,15.4,44.3,161,10,25,"1,969",9,36,"2,577",124,770,41.7,33,70,2.2,18,37.6
Croatia,DB2004,..,..,11,29,16.3,25.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,561,13.8,38,..,3.1,15,28.8
Croatia,DB2005,..,..,11,29,13.7,24.4,..,..,..,..,..,..,..,..,..,5,956,5,..,4,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,561,13.8,38,..,3.1,15,28.6
Croatia,DB2006,..,..,11,29,12.7,22.7,..,23,390,975.8,..,..,..,..,..,5,956,5,..,5,0,0,0,..,1,5,6,4,..,28,232,..,..,..,32.5,..,7,26,"1,200",8,18,"1,200",..,561,13.8,38,..,3.1,15,28.4
Croatia,DB2007,..,..,9,25,11.5,20.6,..,23,390,885.1,..,..,..,..,..,5,399,5,..,5,0,0,0,..,1,5,6,4,..,28,196,..,..,..,32.5,..,7,26,"1,200",8,18,"1,200",..,561,13.8,38,..,3.1,15,28.9
Croatia,DB2008,..,..,7,22,10.4,18.4,..,23,390,787.6,..,..,..,..,..,5,174,5,..,6,3,0,72.4,..,1,5,6,4,..,28,196,..,..,..,32.5,..,7,22,"1,200",8,16,"1,200",..,561,13.8,38,..,3.1,15,30.2
Croatia,DB2009,..,..,7,22,10.3,16.6,..,18,411,713.4,..,..,..,..,..,5,174,5,..,6,3,0,71.8,..,1,5,6,4,..,17,196,..,..,..,32.5,..,7,20,"1,281",8,16,"1,141",..,561,13.8,38,..,3.1,15,30.5
Croatia,DB2010,..,..,7,22,8.4,13.4,..,13,421,575.6,..,5,70,319.8,..,5,104,5,..,6,4,0,77,..,1,5,6,4,..,17,196,..,..,..,32.5,..,7,20,"1,281",8,16,"1,141",..,561,13.8,38,..,3.1,15,30.5
Croatia,DB2011,79,57,6,7,8.6,13.7,142,12,317,589.2,56,5,70,327.5,104,5,104,5,64,6,4,0,81.2,131,1,5,6,4,30,17,196,..,..,..,32.5,99,7,20,"1,281",8,16,"1,141",47,561,13.8,38,94,3.1,15,28.7
Croatia,DB2012,80,67,6,7,8.6,13.8,143,12,317,591.1,56,5,70,328.6,102,5,104,5,48,6,5,0,100,133,1,5,6,4,32,17,196,11.5,19.4,1.5,32.3,100,7,20,"1,300",8,16,"1,180",48,561,13.8,38,94,3.1,15,29.7
Cyprus,DB2004,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..
Cyprus,DB2005,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..
Cyprus,DB2006,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..
Cyprus,DB2007,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..
Cyprus,DB2008,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,0,..
Cyprus,DB2009,..,..,6,8,14.1,0,..,9,677,54.3,..,..,..,..,..,6,42,10.1,..,9,0,..,..,..,4,4,7,5,..,27,149,..,..,..,22.6,..,5,7,740,7,5,845,..,735,16.4,43,..,1.5,15,70.7
Cyprus,DB2010,..,..,6,8,11.7,0,..,9,677,49.5,..,5,247,99.1,..,6,42,10.6,..,9,0,0,0,..,4,4,7,5,..,27,149,..,..,..,22.6,..,5,7,740,7,5,845,..,735,16.4,43,..,1.5,15,70.7
Cyprus,DB2011,49,26,6,8,12.6,0,73,9,677,44.4,98,5,247,88.9,119,6,42,10.1,75,9,0,0,0,93,4,4,7,5,34,27,149,..,..,..,23.2,16,5,7,740,7,5,845,104,735,16.4,43,22,1.5,15,70.4
Cyprus,DB2012,40,33,6,8,13.1,0,78,9,677,47.5,96,5,247,95.3,123,6,42,10.3,78,9,0,0,0,29,8,4,7,6.3,37,27,149,9.1,11.8,2.2,23.1,19,5,7,790,7,5,900,105,735,16.4,43,23,1.5,15,70.8
Czech Republic,DB2004,..,..,10,40,10,47.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,663,33.5,28,..,9.2,18,15.4
Czech Republic,DB2005,..,..,10,40,10.8,44.5,..,..,..,..,..,..,..,..,..,4,123,3,..,7,4,2.1,24.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,663,33.5,28,..,9.2,18,16.8
Czech Republic,DB2006,..,..,10,40,9.5,39,..,33,276,13.8,..,..,..,..,..,4,123,3,..,7,5,2.8,37.9,..,2,5,8,5,..,27,930,..,..,..,49.6,..,4,16,775,7,18,860,..,653,33,27,..,9.2,15,17.8
Czech Republic,DB2007,..,..,10,24,8.9,36.8,..,33,276,13.1,..,..,..,..,..,4,123,3,..,7,5,3.5,51,..,2,5,8,5,..,12,930,..,..,..,49.1,..,4,16,775,7,18,860,..,653,33,27,..,9.2,15,18.5
Czech Republic,DB2008,..,..,10,17,10.6,34.9,..,33,150,12.4,..,..,..,..,..,4,123,3,..,7,5,4.2,53,..,2,5,8,5,..,12,808,..,..,..,48.6,..,4,16,775,7,18,860,..,653,33,27,..,6.5,15,21.3
Czech Republic,DB2009,..,..,9,20,9.6,31.8,..,33,150,11.3,..,..,..,..,..,4,123,3,..,6,5,4.6,65.2,..,2,5,8,5,..,12,808,..,..,..,48.6,..,4,17,985,7,20,"1,087",..,653,33,27,..,6.5,15,20.9
Czech Republic,DB2010,..,..,9,20,9.2,30.5,..,33,120,10.8,..,6,279,184.9,..,4,78,3,..,6,5,4.9,73.1,..,2,5,8,5,..,12,613,..,..,..,47.2,..,4,17,"1,060",7,20,"1,165",..,611,33,27,..,6.5,15,20.9
Czech Republic,DB2011,70,130,9,20,9.3,30.9,65,33,120,11,149,6,279,187.2,48,4,43,3,45,6,5,4.9,73.2,93,2,5,8,5,129,12,557,..,..,..,48.8,69,4,17,"1,060",7,20,"1,165",79,611,33,27,32,3.2,17,55.9
Czech Republic,DB2012,64,138,9,20,8.4,30.7,68,33,120,10.9,148,6,279,186.2,34,4,25,3,48,6,5,6.1,95.7,97,2,5,8,5,119,8,557,7.5,38.4,3.2,49.1,70,4,17,"1,060",7,20,"1,165",78,611,33,27,33,3.2,17,56
Denmark,DB2004,..,..,5,7,0,49.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,380,24.6,34,..,3.3,4,63.1
Denmark,DB2005,..,..,5,7,0,48.8,..,..,..,..,..,..,..,..,..,6,42,0.6,..,8,4,0,7.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,380,24.6,35,..,3.3,4,63.1
Denmark,DB2006,..,..,4,6,0,47,..,5,67,71,..,..,..,..,..,6,42,0.6,..,8,4,0,7.7,..,7,5,7,6.3,..,10,135,..,..,..,34.7,..,4,5,603,3,5,603,..,380,23.3,35,..,3.3,4,67.2
Denmark,DB2007,..,..,4,6,0,44.6,..,5,67,67.4,..,..,..,..,..,6,42,0.6,..,9,4,0,11.5,..,7,5,7,6.3,..,10,135,..,..,..,32.7,..,4,5,603,3,5,603,..,380,23.3,35,..,3,4,70.5
Denmark,DB2008,..,..,4,6,0,40.7,..,5,67,61.4,..,..,..,..,..,6,42,0.6,..,9,4,0,11.5,..,7,5,7,6.3,..,10,135,..,..,..,33.3,..,4,5,603,3,5,603,..,380,23.3,35,..,1.1,4,87
Denmark,DB2009,..,..,4,6,0,40.1,..,5,67,60.6,..,..,..,..,..,6,42,0.6,..,9,4,0,5,..,7,5,7,6.3,..,10,135,..,..,..,29.9,..,4,5,744,3,5,744,..,380,23.3,35,..,1.1,4,86.5
Denmark,DB2010,..,..,4,6,0,38.6,..,5,67,58.4,..,4,38,122,..,6,42,0.6,..,9,4,0,5.2,..,7,5,7,6.3,..,10,135,..,..,..,29.2,..,4,5,744,3,5,744,..,380,23.3,35,..,1.1,4,86.5
Denmark,DB2011,5,27,4,6,0,26,10,5,67,61.3,13,4,38,128.2,29,3,42,0.6,21,9,4,0,5.4,28,7,5,7,6.3,12,10,135,..,..,..,29.3,6,4,5,744,3,5,744,30,410,23.3,35,5,1.1,4,89.4
Denmark,DB2012,5,31,4,6,0,25,10,5,67,59.1,13,4,38,120.6,11,3,16,0.6,24,9,4,0,7.3,29,7,5,7,6.3,14,10,135,20.1,3.6,3.8,27.5,7,4,5,744,3,5,744,32,410,23.3,35,9,1,4,87.3
Djibouti,DB2004,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..
Djibouti,DB2005,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..
Djibouti,DB2006,..,..,11,37,234.9,604.6,..,14,171,"2,541.10",..,..,..,..,..,7,49,13.3,..,1,1,..,..,..,5,2,0,2.3,..,23,66,..,..,..,38.7,..,14,25,756,13,26,831,..,"1,225",34,40,..,5,18,15.9
Djibouti,DB2007,..,..,11,37,222,571.4,..,14,171,"2,401.20",..,..,..,..,..,7,49,13.3,..,1,1,0.2,0,..,5,2,0,2.3,..,23,66,..,..,..,38.7,..,14,25,756,13,26,831,..,"1,225",34,40,..,5,18,15.9
Djibouti,DB2008,..,..,11,37,206.6,530.8,..,14,171,"2,234.20",..,..,..,..,..,7,40,13.2,..,1,1,0.2,0,..,5,2,0,2.3,..,23,66,..,..,..,38.7,..,8,22,756,6,18,831,..,"1,225",34,40,..,5,18,15.9
Djibouti,DB2009,..,..,11,37,200.2,514,..,14,171,"2,163.70",..,..,..,..,..,7,40,13.2,..,1,1,0.2,0,..,5,2,0,2.3,..,23,66,..,..,..,38.7,..,5,19,854,5,16,849,..,"1,225",34,40,..,5,18,15.9
Djibouti,DB2010,..,..,11,37,195.1,500.5,..,14,171,"2,105.90",..,4,180,"10,165.80",..,7,40,13.2,..,1,1,0.2,0,..,5,2,0,2.3,..,23,66,..,..,..,38.7,..,5,19,836,5,18,911,..,"1,225",34,40,..,5,18,15.9
Djibouti,DB2011,167,177,11,37,169.9,434.1,137,14,171,"1,828.10",140,4,180,"8,816.70",144,7,40,13,177,1,1,0.2,0,179,5,2,0,2.3,66,35,90,..,..,..,38.7,37,5,19,836,5,18,911,160,"1,225",34,40,143,5,18,15.6
Djibouti,DB2012,170,179,11,37,169.8,434,142,15,172,"2,285.70",143,4,180,"8,799.10",148,7,40,13,177,1,1,0.2,0,179,5,2,0,2.3,70,35,82,17.7,17.7,3.3,38.7,37,5,18,836,5,18,911,160,"1,225",34,40,141,5,18,16.5
Dominica,DB2004,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..
Dominica,DB2005,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..
Dominica,DB2006,..,..,5,14,30.2,0,..,9,165,15,..,..,..,..,..,5,42,13.8,..,9,0,..,..,..,4,8,7,6.3,..,37,147,..,..,..,37.3,..,7,16,"1,478",8,18,"1,512",..,681,36,47,..,4,10,28.4
Dominica,DB2007,..,..,5,14,30,0,..,9,165,14.9,..,..,..,..,..,5,42,13.8,..,9,0,0,0,..,4,8,7,6.3,..,37,147,..,..,..,37.3,..,7,16,"1,478",8,18,"1,512",..,681,36,47,..,4,10,27.4
Dominica,DB2008,..,..,5,14,27.1,0,..,9,165,13.5,..,..,..,..,..,5,42,13.7,..,9,0,0,0,..,4,8,7,6.3,..,37,147,..,..,..,37.3,..,7,16,"1,197",8,18,"1,107",..,681,36,47,..,4,10,28
Dominica,DB2009,..,..,5,14,25.5,0,..,9,165,12.7,..,..,..,..,..,5,42,13.7,..,9,0,0,0,..,4,8,7,6.3,..,37,120,..,..,..,37.3,..,7,13,"1,297",8,15,"1,310",..,681,36,47,..,4,10,28.2
Dominica,DB2010,..,..,5,14,22.6,0,..,9,165,11.2,..,5,61,875.3,..,5,42,13.7,..,9,0,0,0,..,4,8,7,6.3,..,37,120,..,..,..,37.3,..,7,13,"1,297",8,15,"1,310",..,681,36,47,..,4,10,28.2
Dominica,DB2011,64,39,5,14,22,0,18,9,165,10.9,66,5,61,893.9,113,5,42,13.7,75,9,0,0,0,28,4,8,7,6.3,68,37,120,..,..,..,37.3,90,7,13,"1,297",8,15,"1,310",167,681,36,47,101,4,10,27.3
Dominica,DB2012,65,48,5,14,21.8,0,18,9,165,10.8,65,5,61,849.7,116,5,42,13.2,78,9,0,0,0,29,4,8,7,6.3,73,37,120,25.9,7.9,3.7,37.5,88,7,13,"1,340",8,15,"1,350",167,681,36,47,98,4,10,28.3
Dominican Republic,DB2004,..,..,9,77,28.3,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,580,40.9,34,..,3.5,38,5.9
Dominican Republic,DB2005,..,..,9,77,25.4,0,..,..,..,..,..,..,..,..,..,7,107,6.3,..,3,5,..,29.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,580,40.9,34,..,3.5,38,5.6
Dominican Republic,DB2006,..,..,9,74,30.8,0,..,14,216,180.5,..,..,..,..,..,7,107,5.1,..,3,5,19.2,34.6,..,5,0,7,4,..,75,232,..,..,..,36.2,..,7,17,770,10,17,990,..,580,40.9,34,..,3.5,38,5.4
Dominican Republic,DB2007,..,..,9,72,30.2,0,..,14,216,165.3,..,..,..,..,..,7,107,5.1,..,3,6,11.9,57.1,..,5,0,7,4,..,75,286,..,..,..,36.5,..,7,17,770,10,17,990,..,460,40.9,34,..,3.5,38,7.4
Dominican Republic,DB2008,..,..,9,22,31.1,0,..,14,216,155.1,..,..,..,..,..,7,60,5.1,..,3,6,13.3,35.4,..,5,0,7,4,..,74,286,..,..,..,40.2,..,6,12,815,7,13,"1,015",..,460,40.9,34,..,3.5,38,8.4
Dominican Republic,DB2009,..,..,8,19,19.4,0,..,14,216,124.4,..,..,..,..,..,7,60,3.8,..,3,6,33.9,35,..,5,0,7,4,..,9,480,..,..,..,35.7,..,6,9,916,7,10,"1,150",..,460,40.9,34,..,3.5,38,8.9
Dominican Republic,DB2010,..,..,8,19,17.3,0,..,14,216,95.9,..,7,87,447.6,..,7,60,3.7,..,3,6,29.7,46.1,..,5,4,8,5.7,..,9,324,..,..,..,39,..,6,9,916,7,10,"1,150",..,460,40.9,34,..,3.5,38,8.9
Dominican Republic,DB2011,105,138,8,19,19.2,62.6,98,14,216,92.3,124,7,87,405.3,107,7,60,3.7,75,3,6,28.5,47.3,60,5,4,8,5.7,82,9,324,..,..,..,40.7,39,6,9,916,7,10,"1,150",83,460,40.9,34,153,3.5,38,9.1
Dominican Republic,DB2012,108,140,7,19,18.2,55.7,105,14,216,82.1,123,7,87,356.7,105,7,60,3.7,78,3,6,35.9,54.3,65,5,4,8,5.7,94,9,324,21.3,18.6,1.8,41.7,45,6,8,"1,040",7,10,"1,150",83,460,40.9,34,154,3.5,38,9.5
Ecuador,DB2004,..,..,14,92,51.6,11.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,588,27.2,39,..,5.3,18,12.5
Ecuador,DB2005,..,..,14,92,47.4,10.4,..,..,..,..,..,..,..,..,..,11,22,7.7,..,3,4,12.4,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,588,27.2,39,..,5.3,18,14.2
Ecuador,DB2006,..,..,14,69,38.1,9.2,..,16,128,774.1,..,..,..,..,..,9,20,6.5,..,3,4,13.6,0,..,1,5,6,4,..,8,600,..,..,..,35.3,..,9,22,"1,200",8,44,"1,160",..,588,27.2,39,..,5.3,18,16.6
Ecuador,DB2007,..,..,14,65,31.8,7.7,..,16,128,315.5,..,..,..,..,..,9,19,3.5,..,3,5,15.2,43.7,..,1,5,6,4,..,8,600,..,..,..,35.3,..,9,22,"1,200",8,44,"1,160",..,588,27.2,39,..,5.3,18,16.5
Ecuador,DB2008,..,..,14,65,29.2,7,..,16,128,292.2,..,..,..,..,..,9,16,3,..,3,5,37.9,44.1,..,1,5,6,4,..,8,600,..,..,..,35.3,..,9,22,"1,200",8,44,"1,160",..,588,27.2,39,..,5.3,18,16.9
Ecuador,DB2009,..,..,14,65,35.3,6.3,..,16,128,269.4,..,..,..,..,..,9,16,2.2,..,3,5,37.7,46.8,..,1,5,6,4,..,8,600,..,..,..,34.9,..,8,20,"1,455",7,29,"1,402",..,588,27.2,39,..,5.3,18,16.1
Ecuador,DB2010,..,..,13,64,35.1,5.3,..,16,128,227.8,..,6,89,972.6,..,9,16,2.1,..,3,6,37.2,46,..,1,5,6,4,..,8,600,..,..,..,34.9,..,8,20,"1,455",7,29,"1,402",..,588,27.2,39,..,5.3,18,16.1
Ecuador,DB2011,131,160,13,56,32.6,4.9,84,16,128,210.6,126,6,89,899.4,75,9,16,2.2,75,3,6,36.5,45,131,1,5,6,4,88,8,654,..,..,..,35.3,126,8,20,"1,455",7,29,"1,402",101,588,27.2,39,138,5.3,18,17
Ecuador,DB2012,130,164,13,56,28.8,4.3,91,16,128,184,128,6,89,785.3,75,9,16,2.1,78,3,6,0,57.9,133,1,5,6,4,88,8,654,18.4,14.2,2.7,35.3,123,8,20,"1,455",7,25,"1,432",100,588,27.2,39,139,5.3,18,17.2
"Egypt, Arab Rep.",DB2004,..,..,13,37,65.6,855.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,010",26.2,42,..,4.2,22,15.9
"Egypt, Arab Rep.",DB2005,..,..,13,37,63,815.6,..,..,..,..,..,..,..,..,..,7,193,6.8,..,3,2,1,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,010",26.2,42,..,4.2,22,16
"Egypt, Arab Rep.",DB2006,..,..,10,22,104.9,739.8,..,25,249,932.3,..,..,..,..,..,7,193,5.1,..,3,2,1.2,0,..,7,3,5,5,..,42,504,..,..,..,54.3,..,8,27,"1,014",10,29,"1,106",..,"1,010",26.2,42,..,4.2,22,16.1
"Egypt, Arab Rep.",DB2007,..,..,10,19,68.8,694.7,..,25,249,775,..,..,..,..,..,7,193,5.9,..,3,2,1.5,0,..,7,3,5,5,..,41,596,..,..,..,46.4,..,8,20,"1,014",9,25,"1,106",..,"1,010",26.2,42,..,4.2,22,16.6
"Egypt, Arab Rep.",DB2008,..,..,7,9,28.6,12.9,..,25,249,281.5,..,..,..,..,..,7,193,1,..,3,4,1.7,..,..,7,3,5,5,..,36,711,..,..,..,45.1,..,8,15,714,9,18,786,..,"1,010",26.2,42,..,4.2,22,16.6
"Egypt, Arab Rep.",DB2009,..,..,6,7,18.3,2,..,25,249,223.4,..,..,..,..,..,7,72,0.9,..,3,5,2.2,4.7,..,8,3,5,5.3,..,29,711,..,..,..,44,..,8,14,737,9,15,880,..,"1,010",26.2,42,..,4.2,22,16.8
"Egypt, Arab Rep.",DB2010,..,..,6,7,16.1,0,..,22,218,196.2,..,7,54,575.9,..,7,72,0.9,..,3,6,2.5,8.2,..,8,3,5,5.3,..,29,480,..,..,..,43,..,8,14,737,9,15,880,..,"1,010",26.2,41,..,4.2,22,16.8
"Egypt, Arab Rep.",DB2011,108,18,6,7,6.3,0,155,22,218,173.8,99,7,54,509.9,94,7,72,0.8,75,3,6,2.9,10.3,74,8,3,5,5.3,139,29,433,..,..,..,42.6,64,8,12,613,9,12,755,144,"1,010",26.2,41,136,4.2,22,17.4
"Egypt, Arab Rep.",DB2012,110,21,6,7,5.6,0,154,22,218,155.3,101,7,54,455.5,93,7,72,0.8,78,3,6,3.5,13.7,79,8,3,5,5.3,145,29,433,13,27.1,3.6,43.6,64,8,12,613,9,12,755,147,"1,010",26.2,41,137,4.2,22,17.7
El Salvador,DB2004,..,..,12,115,127.4,133.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,786,19.2,31,..,4,9,24.3
El Salvador,DB2005,..,..,12,115,128,132.5,..,..,..,..,..,..,..,..,..,5,52,3.6,..,5,5,19.8,82.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,786,19.2,31,..,4,9,24.3
El Salvador,DB2006,..,..,12,40,118,124.4,..,33,157,24.3,..,..,..,..,..,5,52,3.6,..,5,5,17.3,78.7,..,3,0,5,2.7,..,53,320,..,..,..,34.8,..,7,22,540,10,30,540,..,786,19.2,31,..,4,9,30.5
El Salvador,DB2007,..,..,10,26,75.6,119.7,..,33,157,204.9,..,..,..,..,..,6,33,3.6,..,5,6,30.5,79.6,..,3,0,5,2.7,..,53,320,..,..,..,34.8,..,7,22,540,10,30,540,..,786,19.2,31,..,4,9,29.2
El Salvador,DB2008,..,..,9,26,73.1,112.5,..,33,157,192.6,..,..,..,..,..,5,31,3.6,..,5,6,17.2,74.6,..,3,0,5,2.7,..,53,320,..,..,..,34.8,..,8,21,540,10,18,540,..,786,19.2,31,..,4,9,28.4
El Salvador,DB2009,..,..,8,17,49.6,3.5,..,33,157,171.7,..,..,..,..,..,5,31,3.7,..,5,6,18.4,83,..,3,0,5,2.7,..,53,320,..,..,..,34.9,..,8,14,880,8,10,820,..,786,19.2,31,..,4,9,30.8
El Salvador,DB2010,..,..,8,17,38.7,2.9,..,33,157,162.4,..,7,78,493.9,..,5,31,3.8,..,5,6,21,94.6,..,3,0,5,2.7,..,53,320,..,..,..,35,..,8,14,880,8,10,820,..,786,19.2,31,..,4,9,30.8
El Salvador,DB2011,112,129,8,17,45,3,141,33,157,167.8,126,7,78,540,50,5,31,3.8,45,5,6,21.8,95,172,3,0,5,2.7,141,53,320,..,..,..,35,72,8,14,845,8,10,845,57,786,19.2,31,92,4,9,29.2
El Salvador,DB2012,112,136,8,17,45.1,3,144,33,157,168.3,130,7,78,533.3,54,5,31,3.7,48,5,6,23.9,81.1,166,3,0,6,3,146,53,320,16.5,17.2,1.3,35,69,8,14,845,8,10,845,66,786,19.2,34,88,4,9,31.5
Equatorial Guinea,DB2004,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..
Equatorial Guinea,DB2005,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..
Equatorial Guinea,DB2006,..,..,20,137,"2,051.50",266.9,..,15,166,"2,749.60",..,..,..,..,..,6,23,6.2,..,3,2,..,..,..,6,1,4,3.7,..,46,492,..,..,..,46,..,7,29,"1,403",7,46,"1,403",..,553,18.5,40,..,no practice,no practice,0
Equatorial Guinea,DB2007,..,..,21,137,100.7,13.1,..,15,166,135,..,..,..,..,..,6,23,6.2,..,3,2,2.4,0,..,6,1,4,3.7,..,46,492,..,..,..,46,..,7,29,"1,403",7,46,"1,403",..,553,18.5,40,..,no practice,no practice,0
Equatorial Guinea,DB2008,..,..,21,137,105.1,23.2,..,15,166,238.8,..,..,..,..,..,6,23,6.3,..,3,2,1.9,0,..,6,1,4,3.7,..,46,492,..,..,..,46,..,7,29,"1,403",7,46,"1,403",..,553,18.5,40,..,no practice,no practice,0
Equatorial Guinea,DB2009,..,..,21,137,101.7,15.4,..,15,166,158.7,..,..,..,..,..,6,23,6.2,..,3,2,2.7,0,..,6,1,4,3.7,..,46,492,..,..,..,46,..,7,30,"1,411",7,49,"1,411",..,553,18.5,40,..,no practice,no practice,0
Equatorial Guinea,DB2010,..,..,21,137,100.4,12.4,..,15,166,127.8,..,..,..,..,..,6,23,6.2,..,3,2,3,0,..,6,1,4,3.7,..,46,492,..,..,..,46,..,7,30,"1,411",7,49,"1,411",..,553,18.5,40,..,no practice,no practice,0
Equatorial Guinea,DB2011,161,181,21,137,147.9,21.3,101,15,166,219.7,93,5,106,833.3,76,6,23,6.3,139,3,2,2.5,0,145,6,1,4,3.7,166,46,492,..,..,..,46,135,7,29,"1,411",7,48,"1,411",73,553,18.5,40,183,no practice,no practice,0
